AgeGrp,cfr.china,cfr.korea,cfr.diamond.princess,age.range.prop
100+,0.180,0.278,0.148,0.2
95-99,0.180,0.278,0.148,0.2
90-94,0.180,0.278,0.148,0.2
85-89,0.180,0.278,0.148,0.2
80-84,0.180,0.278,0.148,0.2
75-79,0.098,0.352,0.080,0.5
70-74,0.098,0.352,0.080,0.5
65-69,0.046,0.241,0.036,0.5
60-64,0.046,0.241,0.036,0.5
55-59,0.013,0.093,0.013,0.5
50-54,0.013,0.093,0.013,0.5
45-49,0.004,0.019,0.004,0.5
40-44,0.004,0.019,0.004,0.5
35-39,0.002,0.019,0.002,0.5
30-34,0.002,0.019,0.002,0.5
25-29,0.009,0.000,0.002,0.5
20-24,0.009,0.000,0.002,0.5
15-19,0.002,0.000,0.002,0.5
10-14,0.002,0.000,0.002,0.5
5-9,0.001,0.000,0.000,0.5
0-4,0.001,0.000,0.000,0.5
